"AÑO","NAME","CANTIDAD"
1985,Motacilla flava                              ,894
1992,Saxicola rubetra                             ,11
2003,Emberiza cirlus                              ,33
1991,Apus apus                                    ,2
2004,Tachybaptus ruficollis                       ,1
2002,Calidris ferruginea                          ,8
1984,Pluvialis apricaria                          ,1
2012,Athene noctua                                ,2
2006,Carduelis chloris                            ,92
2016,Luscinia svecica cyanecula                   ,4
2017,Saxicola torquata                            ,7
2020,Remiz pendulinus                             ,15
2019,Serinus serinus                              ,19
1988,Saxicola torquata                            ,8
1993,Carduelis cannabina                          ,854
1993,Phoenicurus ochruros                         ,29
1996,Sylvia melanocephala                         ,15
1987,Calidris ferruginea                          ,3
1989,Jynx torquilla                               ,1
1993,Sturnus vulgaris                             ,2
1986,Calidris canutus                             ,4
2007,Scolopax rusticola                           ,2
1993,Alca torda                                   ,1
2002,Troglodytes troglodytes                      ,1
2004,Ficedula hypoleuca                           ,39
2008,Parus cristatus                              ,12
2000,Panurus biarmicus                            ,12
1990,Acrocephalus melanopogon                     ,76
1988,Anthus pratensis                             ,6
1992,Carduelis carduelis                          ,157
1993,Ficedula hypoleuca                           ,70
1993,Aegithalos caudatus                          ,19
1990,Anthus (spinoletta) spinoletta               ,1
1990,Merops apiaster                              ,3
1997,Columba livia                                ,8
2001,Sylvia undata                                ,4
1984,Loxia curvirostra                            ,2
1984,Sylvia cantillans                            ,1
2014,Erithacus rubecula                           ,6
2018,Fringilla coelebs                            ,3
2012,Serinus serinus                              ,22
1989,Acrocephalus scirpaceus                      ,207
1988,Phoenicurus phoenicurus                      ,270
1992,Sylvia cantillans                            ,5
1993,Motacilla flava                              ,19
1988,Lullula arborea                              ,3
1991,Acrocephalus arundinaceus                    ,19
1997,Athene noctua                                ,2
1990,Ixobrychus minutus                           ,1
2003,Acrocephalus melanopogon                     ,33
1984,Acrocephalus schoenobaenus                   ,1
2004,Emberiza citrinella                          ,1
2001,Alcedo atthis                                ,44
2018,Sylvia atricapilla                           ,46
2013,Calidris temminckii                          ,1
2015,Upupa epops                                  ,1
1985,Anthus (spinoletta) spinoletta               ,1
1990,Phoenicurus ochruros                         ,253
1996,Certhia brachydactyla                        ,2
1990,Ptyonoprogne rupestris                       ,2
1985,Ixobrychus minutus                           ,14
2004,Anas crecca                                  ,1
1991,Larus fuscus                                 ,1
2009,Fringilla coelebs                            ,83
2009,Carduelis chloris                            ,144
2001,Motacilla flava                              ,8
2002,Lonchura malacca                             ,1
2006,Clamator glandarius                          ,1
2017,Lymnocryptes minimus                         ,1
2020,Anthus spinoletta                            ,2
2017,Phoenicurus phoenicurus                      ,2
1985,Emberiza cirlus                              ,1
1995,Luscinia megarhynchos                        ,2
1993,Prunella modularis                           ,4
1988,Lymnocryptes minimus                         ,1
2003,Merops apiaster                              ,2
1998,Otus scops                                   ,1
2002,Hippolais polyglotta                         ,6
2013,Streptopelia decaocto                        ,147
1986,Saxicola rubetra                             ,1
1990,Motacilla flava                              ,292
1987,Calidris alpina                              ,6
1991,Galerida cristata                            ,6
1994,Turdus merula                                ,11
2011,Turdus merula                                ,2
1992,Sterna hirundo                               ,9
1991,Ixobrychus minutus                           ,4
1992,Larus (argentatus) cachinnans                ,32
1992,Hieraaetus fasciatus                         ,1
2007,Delichon urbica                              ,14
2008,Calidris temminckii                          ,8
2014,Parus major                                  ,13
2017,Luscinia svecica                             ,27
2018,Sylvia borin                                 ,1
2018,Lanius senator                               ,2
2006,Porphyrio porphyrio                          ,1
1996,Carduelis spinus                             ,1
1991,Emberiza pusilla                             ,2
1991,Lanius senator                               ,96
1985,Turdus viscivorus                            ,3
2001,Caprimulgus europaeus                        ,2
2004,Glareola pratincola                          ,14
1990,Gallinago gallinago                          ,8
1990,Falco tinnunculus dacotiae                   ,5
2009,Panurus biarmicus                            ,6
2005,Lanius senator                               ,3
2003,Motacilla flava                              ,379
2003,Sylvia borin                                 ,6
2019,Passer domesticus                            ,134
2012,Luscinia svecica cyanecula                   ,4
2018,Hippolais polyglotta                         ,4
1989,Passer montanus                              ,13
1985,Luscinia megarhynchos                        ,65
1985,Aegithalos caudatus                          ,6
1988,Parus major                                  ,50
1994,Charadrius dubius                            ,1
1990,Caprimulgus europaeus                        ,11
2001,Ixobrychus minutus                           ,15
2003,Ixobrychus minutus                           ,4
2003,Ardeola ralloides                            ,6
2005,Acrocephalus arundinaceus                    ,51
2005,Motacilla alba                               ,250
2001,Aegithalos caudatus                          ,37
2006,Sylvia atricapilla                           ,222
2016,Rallus aquaticus                             ,1
2006,Anthus (spinoletta) petrosus                 ,4
1985,Sturnus vulgaris                             ,127
1985,Tringa erythropus                            ,1
1992,Columba livia                                ,22
1990,Ardeola ralloides                            ,72
1994,Larus ridibundus                             ,23
1992,Pernis apivorus                              ,1
2003,Galerida cristata                            ,1
2002,Locustella luscinioides                      ,32
2008,Phylloscopus trochilus                       ,57
1984,Anthus pratensis                             ,25
1984,Fringilla montifringilla                     ,1
2006,Glareola pratincola                          ,52
2006,Acrocephalus arundinaceus                    ,32
1993,Serinus serinus                              ,191
1989,Phylloscopus bonelli                         ,3
1991,Motacilla flava flava                        ,2
1994,Bubo bubo                                    ,5
1995,Sylvia atricapilla                           ,11
1992,Anthus (spinoletta) spinoletta               ,2
1991,Turdus merula                                ,44
2008,Turdus merula                                ,96
1994,Accipiter nisus                              ,1
2008,Nycticorax nycticorax                        ,1
2003,Troglodytes troglodytes                      ,6
2008,Motacilla flava flava                        ,5
2012,Streptopelia decaocto                        ,15
2015,Lymnocryptes minimus                         ,1
2014,Acrocephalus arundinaceus                    ,16
2015,Parus major                                  ,20
2012,Erithacus rubecula                           ,21
2016,Calidris minuta                              ,1
1991,Hippolais polyglotta                         ,31
1991,Emberiza cirlus                              ,2
2008,Emberiza cirlus                              ,17
1995,Fringilla coelebs                            ,46
1998,Lullula arborea                              ,1
2004,Motacilla alba alba                          ,1
1986,Tringa glareola                              ,1
2000,Sturnus roseus                               ,2
2004,Otus scops                                   ,4
1986,Egretta garzetta                             ,3
1993,Calonectris diomedea                         ,95
2008,Strix aluco                                  ,3
2004,Motacilla flava thunbergi                    ,4
2007,Glareola pratincola                          ,101
2007,Phylloscopus (collybita) collybita           ,4
2020,Erithacus rubecula                           ,24
2020,Parus cristatus                              ,8
2014,Oriolus oriolus                              ,1
1992,Parus ater                                   ,8
2000,Muscicapa striata                            ,6
1998,Sylvia undata                                ,4
1989,Acrocephalus arundinaceus                    ,22
2008,Sylvia borin                                 ,31
1994,Caprimulgus ruficollis                       ,2
2007,Tachybaptus ruficollis                       ,2
1988,Circus pygargus                              ,17
1994,Larus audouinii                              ,39
2004,Strix aluco                                  ,2
1988,Hieraaetus pennatus                          ,1
2008,Prunella modularis                           ,5
2007,Prunella modularis                           ,1
2006,Parus major                                  ,86
2015,Anthus pratensis                             ,4
2014,Phylloscopus bonelli                         ,2
2015,Loxia curvirostra                            ,1
1985,Troglodytes troglodytes                      ,1
1986,Muscicapa striata                            ,10
1988,Luscinia megarhynchos                        ,133
1988,Phylloscopus trochilus trochilus             ,2
1999,Saxicola torquata                            ,15
1994,Anthus pratensis                             ,77
1986,Philomachus pugnax                           ,8
2003,Columba livia                                ,42
1987,Larus audouinii                              ,8
2001,Acrocephalus melanopogon                     ,19
2007,Ficedula hypoleuca                           ,8
1985,Phylloscopus bonelli                         ,1
2018,Rallus aquaticus                             ,1
2020,Streptopelia decaocto                        ,51
2013,Parus ater                                   ,7
2016,Remiz pendulinus                             ,3
2017,Merops apiaster                              ,10
1992,Aegithalos caudatus                          ,9
1991,Luscinia svecica cyanecula                   ,5
1985,Actitis hypoleucos                           ,15
1989,Oriolus oriolus                              ,1
1990,Larus ridibundus                             ,8
1992,Anas platyrhynchos                           ,25
1984,Sylvia borin                                 ,8
2017,Streptopelia turtur                          ,5
2012,Parus major                                  ,13
2020,Hirundo daurica                              ,2
2006,Anthus pratensis                             ,87
2006,Fringilla montifringilla                     ,2
1987,Acrocephalus schoenobaenus                   ,2
1990,Saxicola rubetra                             ,25
1992,Hirundo rustica                              ,41
1985,Alauda arvensis                              ,14
1998,Ardeola ralloides                            ,6
1990,Sula bassana                                 ,1
1993,Circaetus gallicus                           ,2
